2020-12-07 21:12:683 INFO  BasePage :29 - Launching Chrome Browser
2020-12-07 21:12:990 INFO  BasePage :29 - Launching Chrome Browser
2020-12-07 21:12:882 INFO  BasePage :29 - Launching Chrome Browser
2020-12-07 22:12:713 INFO  BasePage :29 - Launching Chrome Browser
2020-12-07 22:12:483 INFO  HomePage :29 - Clicking on Login link : [[ChromeDriver: chrome on WINDOWS (db553546398844a9ab47b9270a1b3234)] -> xpath: //a[contains(text(),'Log in')]]
2020-12-07 22:12:591 INFO  LoginPage :40 - Entering email address : alphatest@mymail.com to email field : [[ChromeDriver: chrome on WINDOWS (db553546398844a9ab47b9270a1b3234)] -> id: Email]
2020-12-07 22:12:685 INFO  LoginPage :47 - Entering password : 123456 to password field : [[ChromeDriver: chrome on WINDOWS (db553546398844a9ab47b9270a1b3234)] -> css selector: #Password]
2020-12-07 22:12:742 INFO  LoginPage :53 - Clicking on login button : [[ChromeDriver: chrome on WINDOWS (db553546398844a9ab47b9270a1b3234)] -> xpath: //input[@class='button-1 login-button']]
2020-12-07 22:12:852 INFO  LoginPage :83 - Getting text from Proxy element for: DefaultElementLocator 'By.xpath: //h2[contains(text(),'Welcome to our store')]'
2020-12-07 22:12:222 INFO  BasePage :29 - Launching Chrome Browser
2020-12-07 22:12:97 INFO  HomePage :29 - Clicking on Login link : [[ChromeDriver: chrome on WINDOWS (c11806c95ebd4341bd41382b4d3676a4)] -> xpath: //a[contains(text(),'Log in')]]
2020-12-07 22:12:216 INFO  LoginPage :42 - Entering email address : alphatest@mymail.com to email field : [[ChromeDriver: chrome on WINDOWS (c11806c95ebd4341bd41382b4d3676a4)] -> id: Email]
2020-12-07 22:12:302 INFO  LoginPage :49 - Entering password : 123456 to password field : [[ChromeDriver: chrome on WINDOWS (c11806c95ebd4341bd41382b4d3676a4)] -> css selector: #Password]
2020-12-07 22:12:758 INFO  LoginPage :55 - Clicking on login button : [[ChromeDriver: chrome on WINDOWS (c11806c95ebd4341bd41382b4d3676a4)] -> xpath: //input[@class='button-1 login-button']]
2020-12-07 22:12:809 INFO  LoginPage :85 - Getting text from Proxy element for: DefaultElementLocator 'By.xpath: //h2[contains(text(),'Welcome to our store')]'
2020-12-07 22:12:197 INFO  BasePage :29 - Launching Chrome Browser
2020-12-07 22:12:503 INFO  HomePage :29 - Clicking on Login link : [[ChromeDriver: chrome on WINDOWS (10f0e5d5305aa5ed4fb32055d167f58a)] -> xpath: //a[contains(text(),'Log in')]]
2020-12-07 22:12:625 INFO  LoginPage :42 - Entering email address : alphatest@mymail.com to email field : [[ChromeDriver: chrome on WINDOWS (10f0e5d5305aa5ed4fb32055d167f58a)] -> id: Email]
2020-12-07 22:12:707 INFO  LoginPage :49 - Entering password : 123456 to password field : [[ChromeDriver: chrome on WINDOWS (10f0e5d5305aa5ed4fb32055d167f58a)] -> css selector: #Password]
2020-12-07 22:12:115 INFO  LoginPage :55 - Clicking on login button : [[ChromeDriver: chrome on WINDOWS (10f0e5d5305aa5ed4fb32055d167f58a)] -> xpath: //input[@class='button-1 login-button']]
2020-12-07 23:12:182 INFO  BasePage :29 - Launching Chrome Browser
2020-12-07 23:12:968 INFO  HomePage :29 - Clicking on Login link : [[ChromeDriver: chrome on WINDOWS (2105e5ec9590fbfa28acce0834fa5fd1)] -> xpath: //a[contains(text(),'Log in')]]
2020-12-07 23:12:84 INFO  LoginPage :42 - Entering email address : abcd123@gmail.com to email field : [[ChromeDriver: chrome on WINDOWS (2105e5ec9590fbfa28acce0834fa5fd1)] -> id: Email]
2020-12-07 23:12:172 INFO  LoginPage :49 - Entering password : xyz123 to password field : [[ChromeDriver: chrome on WINDOWS (2105e5ec9590fbfa28acce0834fa5fd1)] -> css selector: #Password]
2020-12-07 23:12:207 INFO  LoginPage :55 - Clicking on login button : [[ChromeDriver: chrome on WINDOWS (2105e5ec9590fbfa28acce0834fa5fd1)] -> xpath: //input[@class='button-1 login-button']]
2020-12-07 23:12:230 INFO  LoginPage :66 - Getting error text from [[ChromeDriver: chrome on WINDOWS (2105e5ec9590fbfa28acce0834fa5fd1)] -> xpath: //div[@class = 'message-error validation-summary-errors']]
2020-12-07 23:12:564 INFO  BasePage :29 - Launching Chrome Browser
2020-12-07 23:12:811 INFO  HomePage :29 - Clicking on Login link : [[ChromeDriver: chrome on WINDOWS (d53fb9a118ab222dd430c8b8d53b4833)] -> xpath: //a[contains(text(),'Log in')]]
2020-12-07 23:12:925 INFO  LoginPage :42 - Entering email address : djjfgjjfg123@gmail.com to email field : [[ChromeDriver: chrome on WINDOWS (d53fb9a118ab222dd430c8b8d53b4833)] -> id: Email]
2020-12-07 23:12:14 INFO  LoginPage :49 - Entering password : xyadfas123 to password field : [[ChromeDriver: chrome on WINDOWS (d53fb9a118ab222dd430c8b8d53b4833)] -> css selector: #Password]
2020-12-07 23:12:986 INFO  LoginPage :55 - Clicking on login button : [[ChromeDriver: chrome on WINDOWS (d53fb9a118ab222dd430c8b8d53b4833)] -> xpath: //input[@class='button-1 login-button']]
2020-12-07 23:12:05 INFO  LoginPage :66 - Getting error text from [[ChromeDriver: chrome on WINDOWS (d53fb9a118ab222dd430c8b8d53b4833)] -> xpath: //div[@class = 'message-error validation-summary-errors']]
2020-12-07 23:12:294 INFO  BasePage :29 - Launching Chrome Browser
2020-12-07 23:12:192 INFO  HomePage :29 - Clicking on Login link : [[ChromeDriver: chrome on WINDOWS (f626cdc2b76851ee70acfe1ed6d4c3a7)] -> xpath: //a[contains(text(),'Log in')]]
